election,cycle,fecyear,Cand.ID,FEC.ID,NID,ICPSR,ICPSR2,bonica.rid,bonica.cid,name,lname,ffname,fname,mname,nname,title,suffix,party,state,seat,district,Incum.Chall,recipient.cfscore,contributor.cfscore,recipient.cfscore.dyn,dwnom1,dwnom2,ps.dwnom1,ps.dwnom2,dwdime,irt.cfscore,num.givers,num.givers.total,n.data.points.personal.donations,n.data.points.personal.donations.unq,cand.gender,total.disbursements,total.pc.contribs,contribs.from.candidate,unitemized,non.party.ind.exp.for,non.party.ind.exp.against,ind.exp.for,ind.exp.against,comm.cost.for,comm.cost.against,party.coord.exp,party.ind.exp.against,total.receipts,total.indiv.contrib,total.pac.contribs,ran.primary,ran.general,p.elec.stat,s.elec.stat,r.elec.stat,gen.elec.stat,gen.elect.pct,winner,district.partisanship,district.pres.vs,candStatus,recipient.type,igcat,comtype,nimsp.party,nimsp.candidate.ICO.code,nimsp.district,nimsp.office,nimsp.candidate.status,before.switch.ICPSR,after.switch.ICPSR,party.orig
fd2010,2010,2010,H0IL10302,C00465971,N00031103,H0IL103022010,21127,cand1118,4138346577,"DOLD JR., ROBERT JAMES MR.",dold .,robert james mr.,robert,james mr,,,jr,200,IL,federal:house,IL10,O,0.785513991180542,0.86914345667184,0.827,0.2,-0.199,,,0.248,,2178,6038,39,39,M,2903831.11,0,10050,187550.94,0,0,0,0,0,0,0,0,2985088.27,2330059.85,443581.96,1,1,W,,,W,51.08,W,-0.304,0.616,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0IL11052,C00458877,N00030667,H0IL110522010,21128,cand1119,4067305874,"KINZINGER, ADAM",kinzinger,adam,adam,,,,,200,IL,federal:house,IL11,C,0.822599877096863,0.848904320183228,0.999,0.267,0.319,,,0.321,,1271,3360,14,14,M,1827191.99,7625,6369.51,277143.21,0,0,0,0,0,0,0,0,1881629.26,1064901.79,458074.51,1,1,W,,,W,57.35,W,0.135,0.541,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0IL14080,C00467522,N00031104,H0IL140802010,21129,cand1120,5533302208,"HULTGREN, RANDY",hultgren,randy,randy,,,,,200,IL,federal:house,IL14,C,0.955317199639751,0.581696402243498,1.047,0.49,-0.034,,,0.514,,1138,2712,20,20,M,1649532.59,7450,0,178626.05,0,0,0,0,0,0,0,0,1692317.85,1061103.52,364091.62,1,1,W,,,W,51.31,W,0.154,0.556,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0IL17059,C00459354,N00030668,H0IL170592010,21130,cand1121,5834750980,"SCHILLING, ROBERT T MR.",schilling,robert t mr.,robert,t,,,,200,IL,federal:house,IL17,C,1.13270704463035,1.22576712892186,1.187,0.364,0.009,,,0.408,,892,2467,10,10,M,1117730.53,34951.5,0,228838.52,0,0,0,0,0,0,0,0,1127489.56,582648.95,255557.41,1,1,W,,,W,52.58,W,-0.153,0.571,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0IN04170,C00476192,N00031741,H0IN041702010,21131,cand1122,29075804705,"ROKITA, THEODORE EDWARD",rokita,theodore edward,theodore,edward,,,,200,IN,federal:house,IN04,O,1.08333018487813,1.10719704757333,1.07,0.602,-0.16,,,0.593,,887,3220,30,30,M,799656.26,3260.84,0,62566.57,0,0,0,0,0,0,0,0,1095067.12,729272.24,291238.25,1,1,W,,,W,68.57,W,0.69,0.434,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0IN08114,C00468256,N00031227,H0IN081142010,21132,cand1123,3765370395,"BUCSHON, LARRY D",bucshon,larry d,larry,d,,,,200,IN,federal:house,IN08,O,1.1352928586028,1.21566354912928,1.192,0.391,0.233,,,0.454,,820,2118,18,18,M,1079951.66,5000,10100,75383.05,0,0,0,0,0,0,0,0,1098070.93,431947.12,453467.87,1,1,W,,,W,57.44,W,0.535,0.48,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0IN09070,C00459255,N00030670,H0IN090702010,21133,cand1124,3969007877,"YOUNG, TODD CHRISTOPHER",young,todd christopher,todd,christopher,,,,200,IN,federal:house,IN09,C,1.21525056050196,1.19380081703865,1.419,0.48,0.03,,,0.527,,4820,8944,7,7,M,1950158.91,6000,0,281157.61,0,0,0,0,0,0,0,0,1964851.77,1427727.79,223358.41,1,1,W,,,W,52.34,W,0.451,0.495,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H6KS01146,C00413096,N00027649,H6KS011462010,21134,cand1125,3279173275,"HUELSKAMP, TIMOTHY A",huelskamp,timothy a,timothy,a,,,,200,KS,federal:house,KS01,O,1.35374986536843,1.38929007544498,1.351,0.744,-0.466,,,0.747,,1092,3334,21,21,M,1252546.71,0,0,182383.95,0,0,0,0,0,0,0,0,1185350.41,763976.46,238948,1,1,W,,,W,73.76,W,1.743,0.303,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0KS03137,C00472365,N00031502,H0KS031372010,21135,cand1126,4181396692,"YODER, KEVIN W",yoder,kevin w,kevin,w,,,,200,KS,federal:house,KS03,O,0.987855082881729,1.03086507653819,1.019,0.558,0.03,,,0.555,,1275,4923,1,1,M,1946870.53,5000,13,93800.87,0,0,0,0,0,0,0,0,1972243.33,1289313.78,566347.15,1,1,W,,,W,58.4,W,0.284,0.515,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0KS04051,C00460402,N00030744,H0KS040512010,21136,cand1127,5784560220,"POMPEO, MICHAEL RICHARD",pompeo,michael richard,michael,richard,,,,200,KS,federal:house,KS04,O,1.24773550909645,1.21084154205053,1.304,0.66,0.164,,,0.675,,1710,3280,36,36,M,2142256.32,2500,0,169950.9,0,0,0,0,0,0,0,0,2261023.49,1774092.59,294480,1,1,W,,,W,58.79,W,0.983,0.408,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H8LA02054,C00451336,N00030184,H8LA020542010,21137,cand1128,3820439888,"RICHMOND, CEDRIC L",richmond,cedric l,cedric,l,,,,100,LA,federal:house,LA02,C,-0.35920901410902,,-0.359,-0.479,0.324,,,-0.414,,1176,3552,9,9,M,1134506.11,0,0,6234.21,0,0,0,0,0,0,0,0,1139878.66,696700.54,431937.95,1,1,W,,,W,64.59,W,-1.621,0.747,C,cand,,H,,,,,,,,100
fd2010,2010,2010,H0LA03141,C00472712,N00031503,H0LA031412010,21138,cand1129,29095830095,"LANDRY, JEFFREY M",landry,jeffrey m,jeffrey,m,,,,200,LA,federal:house,LA03,O,1.0622923216017,1.10189684679504,1.073,0.614,-0.112,,,0.569,,744,2222,35,35,M,1421466.11,0,6314.53,32323.7,0,0,0,0,0,0,0,0,1421922.14,1084786.89,201900,1,1,W,,,W,63.77,W,0.734,0.378,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H8MD01094,C00435974,N00029147,H8MD010942010,21139,cand1130,29055813569,"harris, andrew p",harris,andrew p,andrew,p,,,,200,MD,federal:house,MD01,C,0.958756384332162,0.972203867718643,1.002,0.618,-0.352,,,0.595,,2241,7912,89,89,M,2383183.91,7200,0,371215.18,0,0,0,0,0,0,0,0,2359142.16,1501982.94,426693,1,1,W,,,W,54.08,W,0.97,0.408,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0MA10082,C00479063,N00031933,H0MA100822010,21140,cand1131,4085312761,"KEATING, WILLIAM RICHARD",keating,william richard,william,richard,,,,100,MA,federal:house,MA10,O,-0.827042364009015,-0.644635901136839,-0.689,-0.329,-0.136,,,-0.365,,1893,5763,26,26,M,1505515.72,6170,0,129066.03,0,0,0,0,0,0,0,0,1508868.57,962979.89,409095,1,1,W,,,W,46.87,W,-0.258,0.556,C,cand,,H,,,,,,,,100
fd2010,2010,2010,H0MI01088,C00476325,N00031934,H0MI010882010,21141,cand1132,5482884520,"BENISHEK, DANIEL J",benishek,daniel j,daniel,j,,,,200,MI,federal:house,MI01,O,1.11627181150878,1.02923974188078,1.194,0.491,-0.15,,,0.505,,781,2488,22,22,M,1352943.16,5000,9362.89,266175.5,0,0,0,0,0,0,0,0,1388629.28,431086.4,501166.17,1,1,W,,,W,51.94,W,0.233,0.51,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0MI02094,C00459297,N00030673,H0MI020942010,21142,cand1133,29095844327,"HUIZENGA, WILLIAM P",huizenga,william p,william,p,,,,200,MI,federal:house,MI02,O,1.03771121704091,1.23381705940996,1.202,0.629,-0.053,,,0.649,,615,2810,149,149,M,658952.16,0,0,55772.37,0,0,0,0,0,0,0,0,709347.06,407959.82,219057.99,1,1,W,,,W,65.27,W,0.507,0.485,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0MI03126,C00476291,N00031938,H0MI031262010,21143,cand1134,4508916560,"AMASH, JUSTIN",amash,justin,justin,,,,,200,MI,federal:house,MI03,O,1.32230664146077,1.33352794084698,1.347,0.641,-0.768,,,0.751,,1029,3146,69,69,M,1093007.4,3275,0,106483.62,0,0,0,0,0,0,0,0,1103513.44,642190,174468,1,1,W,,,W,59.68,W,0.426,0.5,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0MI13398,C00477828,N00031945,H0MI133982010,21145,cand1135,4179408458,"CLARKE, HANSEN",clarke,hansen,hansen,,,,,100,MI,federal:house,MI13,C,-0.412667961290476,-0.631164884775612,-0.373,-0.478,-0.192,,,-0.463,,434,2496,19,19,M,421509.77,0,0,66696.91,0,0,0,0,0,0,0,0,634548.92,315746.41,174250,1,1,W,,,W,79.39,W,-2.429,0.85,C,cand,,H,,,,,,,,100
fd2010,2010,2010,H0MN08115,C00475632,N00031623,H0MN081152010,21146,cand1136,,"CRAVAACK, CHIP",cravaack,chip,chip,,,,,200,MN,federal:house,MN08,C,1.21070455627549,,1.285,0.366,0.144,,,0.419,,530,1989,0,0,M,630727.85,0,4500,236220.13,0,0,0,0,0,0,0,0,659647.96,327104.47,85985,1,1,W,,,W,48.18,W,-0.12,0.541,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0MS01043,C00464487,N00031006,H0MS010432010,21147,cand1137,3598209122,"NUNNELEE, PATRICK ALAN",nunnelee,patrick alan,patrick,alan,,,,200,MS,federal:house,MS01,C,1.2282827013401,1.28769628152353,1.252,0.488,0.574,,,0.467,,1314,2117,0,0,M,1617120.09,6449,100,129723.51,0,0,0,0,0,0,0,0,1739383.94,1235801.27,318739,1,1,W,,,W,55.26,W,1.027,0.38,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0MS04120,C00477323,N00031958,H0MS041202010,21148,cand1138,3262149144,"PALAZZO, STEVEN MCCARTY",palazzo,steven mccarty,steven,mccarty,,,,200,MS,federal:house,MS04,C,1.12564221817945,1.21116358340172,1.226,0.492,0.514,,,0.461,,845,1971,23,23,M,1058475.79,16410,0,141086.17,0,0,0,0,0,0,0,0,1111452.84,675599.5,241750.54,1,1,W,,,W,51.93,W,1.51,0.32,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0MO04086,C00464602,N00031005,H0MO040862010,21149,cand1139,5000005744322839,"HARTZLER, VICKY JO",hartzler,vicky jo,vicky,jo,,,,200,MO,federal:house,MO04,C,1.21924221185052,1.15220896303741,1.279,0.494,0.375,,,0.504,,2241,4401,40,40,F,1456175.72,0,24636.5,52014.9,0,0,0,0,0,0,0,0,1478529.54,1008352.6,269919.59,1,1,W,,,W,50.43,W,1.109,0.384,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0MO07113,C00460063,N00030676,H0MO071132010,21150,cand1140,4118332133,"LONG, BILLY",long,billy,billy,,,,,200,MO,federal:house,MO07,O,1.07406689666298,1.08022967271018,1.09,0.551,0.292,,,0.552,,728,2080,12,12,M,1272603.67,0,0,54212.51,0,0,0,0,0,0,0,0,1302006.7,1004922.26,192800,1,1,W,,,W,63.39,W,1.331,0.357,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0NV03058,C00468421,N00031244,H0NV030582010,21151,cand1141,4123347186,"HECK, JOE",heck,joe,joe,,,,,200,NV,federal:house,NV03,C,0.976271652033733,0.864866200414621,1.365,0.324,0.014,,,0.365,,4337,10431,23,23,M,1409242.19,10000,3554.76,107301.82,0,0,0,0,0,0,0,0,1563855.63,811897.68,507686.91,1,1,W,,,W,48.13,W,-0.039,0.561,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0NH01217,C00461350,N00030801,H0NH012172010,21152,cand1142,3279162775,"GUINTA, FRANK",guinta,frank,frank,,,,,200,NH,federal:house,NH01,C,0.990044912467267,0.774012876524833,1.011,0.433,0.164,,,0.428,,876,2223,2,2,M,1558944.46,5000,0,117036.88,0,0,0,0,0,0,0,0,1559292.28,735999.11,340519.87,1,1,W,,,W,53.97,W,0.092,0.53,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0NJ03153,C00477661,N00031988,H0NJ031532010,21153,cand1143,4154356252,"RUNYAN, JON",runyan,jon,jon,,,,,200,NJ,federal:house,NJ03,C,0.636913817861762,0.619849181970802,0.628,0.222,0.089,,,0.233,,1164,2210,1,1,M,1618072.69,0,50000,73661,0,0,0,0,0,0,0,0,1623453.23,906642.23,243150,1,1,W,,,W,50.03,W,0.096,0.525,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0NY13074,C00470807,N00031401,H0NY130742010,21154,cand1144,4116325631,"GRIMM, MICHAEL",grimm,michael,michael,,,,,200,NY,federal:house,NY13,C,0.506829558382979,0.522526397950589,0.621,0.219,0.136,,,0.238,,801,2990,1,1,M,1249138.91,1000,17929.02,76911.79,0,0,0,0,0,0,0,0,1278331.66,1018217.06,151750,1,1,W,,,W,51.28,W,0.372,0.49,C,cand,,H,,,,,,,,200
fd2010,2010,2010,H0NY19139,C00466490,N00031124,H0NY191392010,21155,cand1145,5000004618032286,"HAYWORTH, NAN",hayworth,nan,nan,,,,,200,NY,federal:house,NY19,C,0.750608066314474,0.356439494476369,0.774,0.282,-0.182,,,0.292,,1295,3081,300,300,F,2129637.43,5000,10821.18,123730.06,0,0,0,0,0,0,0,0,2182668.09,1089975.65,372297.65,1,1,W,,,W,52.55,W,0.254,0.515,C,cand,,H,,,,,,,,200
